Title,Author,category,age,borrowings_count,borrowings_duration_avg,borrowings_duration_std,unique_readers,copy_count,demand_per_copy,reader_pressure,utilization_score
PATTERN RECOGNITION AND NEURAL NETWORKS,"RIPLEY,BRIAN D.",4,74.0,1,10.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.015015015015015015
PENSER COMME UN MILLIONAIRE :CHANGER SES HABITUDES POUR RÉUSSIR ET ÉTRE HEUREUX,GRAZIOSI DEAN,1,7.0,1,17.0,0.0,1,4,0.25,0.25,0.15178571428571427
PRINCIPES D'ANALYSE MATHÉMATIQUE : COURS ET EXERCICES,"RUDIN, WALTER",3,5.0,1,7.0,0.0,1,5,0.2,0.2,0.05600000000000001
PROBABILITES : RAPPELS DE COURS ET EXERCICES CORRIGES,KHALDI KHALED,2,21.0,18,16.38888888888889,2.6599179308190712,18,20,0.9,0.9,0.17272050059368046
PROBABILITÉ : EXERCICES CORRIGÉS,"CARRIEU, HERVÉ",2,19.0,1,15.0,0.0,1,1,1.0,1.0,0.7894736842105263
PROBABILITÉS ET INTRODUCTION À LA STATISTIQUE,"GIRARDIN,VALÉRIE",2,16.26829268292683,1,15.0,0.0,1,2,0.5,0.5,0.23050974512743627
PROGRAMMATION LINÉAIRE,BENGHEZAL AMAR FAROUK,3,9.0,1,15.0,0.0,1,22,0.045454545454545456,0.045454545454545456,0.003443526170798898
PROGRAMMATION PYTHON PAR LA PRATIQUE,"GUILLOD, JULIEN",3,5.0,1,7.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.15555555555555553
PROGRAMMER EN C++,"HUBBARD, JOHN R.",1,24.0,1,15.0,0.0,1,1,1.0,1.0,0.625
PROGRAMMER EN C++ : DES PREMIERS PAS À LA MAÎTRISE DE C++ 20,"GIBAUD, ALAIN",1,4.0,2,15.0,0.0,2,3,0.6666666666666666,0.6666666666666666,1.6666666666666665
PYTHON POUR LE DATA SCIENTIST : DES BASES DU LANGAGE AU MACHINE LEARNING,"JAKOBOWICZ, EMMANUE",4,5.0,1,17.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.37777777777777777
RECHERCHE OPÉRATIONNELLE POUR INGÉNIEURS. 2,"WERRA, DOMINIQUE DE",3,23.0,1,15.0,0.0,1,1,1.0,1.0,0.6521739130434783
"REINFORCEMENT LEARNING, AN INTRODUCTION","SUTTON,RICHARD S.",0,8.0,1,18.0,0.0,1,2,0.5,0.5,0.5625
RÉSEAUX INFORMATIQUES : RECUEIL DE SUJETS D'EXAMENS AVEC SOLUTIONS,"MEDJAHED GAMAZ, DJ",3,8.0,1,15.0,0.0,1,62,0.016129032258064516,0.016129032258064516,0.0004877731529656607
S.E.M 300 PAR SES EXAMENS TOME2 : ANALYSE ET ALGÉBRE DE PREMIÉRE ANNÉE DES UNIVERSITÉS ET GRNDES ECOLES SCIENTIFIQUES,HAZI MOHAMMED,1,11.0,3,13.333333333333334,2.886751345948129,3,70,0.04285714285714286,0.04285714285714286,0.0005728035794748916
S.E.M. 300 PAR SES EXAMENS T.1 : ANALYSE ET ALGÈBRE DE PREMIÈRE ANNÉE DES UNIVERSITÉS ET GRANDES ÉCOLES SCIENTIFIQUES,HAZI MOHAMMED,1,22.0,4,15.0,0.0,4,5,0.8,0.8,0.43636363636363645
SIMULATION NUMÉRIQUE EN C++ : COURS ET EXERCICES CORRIGÉS,"DANAILA, IONUT",2,23.0,1,11.0,0.0,1,5,0.2,0.2,0.0191304347826087
SOFTWARE ENGINEERING,"SOMMERVILLE, LAN",3,16.26829268292683,2,15.0,0.0,2,6,0.3333333333333333,0.3333333333333333,0.10244877561219388
"STATISTIQUE : COURS ET EXERCICES, POUR LES ÉTUDIANTS DU TRONC COMMUN BIO-MÉDICAL",ADMANE O,3,22.0,1,7.0,0.0,1,4,0.25,0.25,0.019886363636363636
STRUCTURE DES ORDINATEURS : AUTOUR DU PROCESSEUR,"KHELIFATI, SI LARBI",1,9.0,1,15.0,0.0,1,19,0.05263157894736842,0.05263157894736842,0.004616805170821791
"SUPERINTELLIGENCE : PATHS, DANGERS, STRATEGIES","BOSTROM, NICK",1,12.0,1,32.0,0.0,1,1,1.0,1.0,2.6666666666666665
THE HUNDRED-PAGE MACHINE LEARNING BOOK,"BUKOV, ANDRIY",4,7.0,1,22.0,0.0,1,2,0.5,0.5,0.7857142857142857
TOUT LE PROGRAMME DE MATHÉMATIQUE EN BCPTI 1 : AVEC 1000 EXERCICES ET PROBLÈMES,"CADET, FRÉDÉRIC",1,18.0,1,15.0,0.0,1,1,1.0,1.0,0.8333333333333334
TOUT SUR R : ENSEMBLE DES NOMBRES REELS STRUCTURES ALGEBRIQUE ET TOPOLOGIQUE,HAZI MOHAMMED,3,10.0,9,14.777777777777779,3.073181485764296,9,130,0.06923076923076923,0.06923076923076923,0.0017388963053673906
"TOUTES LES MATHÉMATIQUES, MP : 1RE PARTIE, LE KIT DE SURVIE, 2E PARTIE, DES CERISES SUR LE GÂTEAU","VERSCHUEREN, LUC",0,22.0,1,16.0,0.0,1,2,0.5,0.5,0.18181818181818182
UNDERSTANDING ANALYSIS,AXELER.SHELDON,2,16.0,1,15.0,0.0,1,6,0.16666666666666666,0.16666666666666666,0.026041666666666664
WIRELESS MEDICAL SYSTEMS AND ALGORITHMS : DESIGN AND APPLICATIONS,SALVO PIETRO,2,10.0,1,15.0,0.0,1,3,0.3333333333333333,0.3333333333333333,0.16666666666666666
